category,name,price,description
Salad Entrées,Grilled Chicken Caesar Salad,14.99,"Crisp Romaine tossed with Caesar dressing and homemade croutons, topped with grilled chicken."
Salad Entrées,Tavern Steak Salad,18.99,"Mixed greens tossed with red wine vinaigrette, cucumbers, diced tomatoes, scallions, potatoes and topped with grilled USDA Choice Flat iron steak and crumbly Bleu Cheese."
Salad Entrées,BBQ Chicken Salad,14.99,"Iceberg lettuce tossed with homemade Tully’s Ranch, black beans, corn, and Jack-cheddar cheese. Topped with scallions, cilantro, diced tomatoes, tortilla chips and BBQ grilled chicken."
Salad Entrées,Tully's Tenders® Salad,14.99,"Iceberg lettuce with fresh vegetables, black olives, and Jack-cheddar cheese. Topped with Tully’s Tenders®. Sub Buffalo or Asian Tenders $.40"
Huge Deli Sandwiches,The Tully,14.99,Shaved turkey and ham lightly grilled and topped with melted white American cheese and bacon with lettuce and tomato on butter toasted deli bread.
Huge Deli Sandwiches,The Ultimate BLT,14.99,"Crisp bacon, lettuce, tomato and mayo on deli bread."
Huge Deli Sandwiches,New York Grilled Reuben,15.99,"Corned beef, Thousand Island dressing, sauerkraut and melted Swiss on rye."
Huge Deli Sandwiches,The Ultimate Grilled Cheese,13.99,"Cheddar, yellow and white American cheeses on deli bread."
Huge Deli Sandwiches,Classic Tuna Melt on Rye,14.99,Grilled with melted Cheddar cheese and sliced tomatoes on Rye.
Tully's Favorites,Tuscan Pork Chop,17.69,"Two center-cut loin pork chops grilled with Italian seasonings. Topped with roasted red peppers, sliced mushrooms, marinara sauce, Romano cheese and a drizzle of garlic butter. Served with choice of side and coleslaw."
Tully's Favorites,California Fish Taco,16.49,"A crisp tortilla packed with hand breaded haddock, melted cheese, black beans, pico de gallo, scallions, black olives, jalapeños and our spicy homemade dressing. Served with rice and beans. Add guacamole $2.39."
Tully's Favorites,Smothered Chicken,17.99,"Two grilled chicken breasts smothered with onions, peppers, mushrooms, melted American cheese, topped with diced tomatoes. Served with choice of side and coleslaw."
Tully's Favorites,Seafood Combo,17.99,"Hand breaded shrimp and lightly breaded haddock, served with choice of side, coleslaw and garlic bread."
Tully's Favorites,Fish Fry Haddock Dinner,17.99,"Lightly breaded haddock with choice of potato, coleslaw and tartar sauce."
Tully's Favorites,Mile High Meatloaf,15.99,Homemade meatloaf (contains mushrooms) served on top of country mashed potatoes and topped with fresh gravy. Served with coleslaw.
Tully's Favorites,Tully's Tender® Dinner,16.79,Fresh hand battered chicken tenders with fries. Served with Tully’s Honey Mustard and coleslaw.
Tully's Favorites,Asian Tender Dinner,17.49,"Tully’s Tenders dipped in house sweet ‘n spicy Asian sauce. Served with fries, Tully’s Ranch and coleslaw."
Tully's Favorites,Buffalo Tender Dinner,17.49,"Tully’s Tenders dipped in house Buffalo sauce. Served with fries, Bleu Cheese and coleslaw."
Sandwich Platters,Caribbean Chicken Sandwich,14.59,Fresh chicken breast seasoned with blackening spice. Topped with our homemade pineapple mango salsa with lettuce and cilantro lime crema.
Sandwich Platters,Island Mahi Sandwich,15.99,Mahi filet seasoned with blackening spice topped with our homemade pineapple mango salsa with lettuce and Cajun mayo.
Sandwich Platters,Cajun Cheddar Chicken Sandwich,14.89,"Grilled chicken breast seasoned with Cajun spices and topped with cheddar cheese. Served on a toasted roll with lettuce, tomato and Cajun mayo."
Sandwich Platters,Fish Fry Haddock Sandwich,14.79,"Lightly hand breaded haddock, served with lettuce and a side of tartar sauce."
Sandwich Platters,Cheese Steak,14.99,"Sliced sirloin topped with onions, peppers, mushrooms and melted American cheese."
Sandwich Platters,Buffalo Chicken,14.49,"Hand battered chicken breast dipped in Buffalo sauce, topped with Bleu Cheese."
Sandwich Platters,Ranch Chicken,14.99,"Chicken breast hand battered and lightly fried. Topped with American cheese, lettuce, tomato, bacon and Tully’s Ranch dressing."
Burgers,Triple Decker Burger,15.99,"Three fresh 4oz burger patties piled high with cheddar, yellow and white American cheese. Topped with bacon, lettuce, tomato, diced pickles and mayo."
Burgers,French Onion Burger,14.89,Our fresh 9oz steak burger topped with two slices of Swiss cheese and our homemade onion jam. Served with french onion au jus for dipping.
Burgers,Fiery Jalapeño Cheddar Burger,14.89,Seasoned with our fiery habañero roasted garlic seasoning and jalapeños right in the burger. Topped with cheddar cheese and Cajun mayo.
Burgers,American Classic Burger,14.99,"Our fresh steak burger topped with American cheese and freshly sliced white onion with diced pickles, ketchup and mustard. A must try!"
Burgers,Basic Burger,14.49,Lettuce and tomato.
Burgers,Cheese Burger,14.99,"Lettuce, tomato and choice of American, cheddar, or Swiss cheese."
Burgers,Smokehouse Burger,14.99,"Bacon, cheddar cheese, BBQ sauce and our Cajun mayo topped with fresh, fried onion straws."
Burgers,Bacon Cheese Burger,14.99,"Five strips of bacon, American cheese, lettuce, tomato and mayo."
Burgers,Mountain Melt Burger,15.99,"Our huge burger packed between our Ultimate Grilled Cheese with lettuce, tomato and mayo."
Burgers,Mushroom Swiss Burger,14.79,Sautéed mushrooms and melted Swiss cheese.
Burgers,Turkey Burger,13.99,Juicy ground seasoned turkey grilled with lettuce and tomato.
Burgers,Garden Burger,13.99,"Black beans, corn and other veggies in this meatless burger with lettuce, tomato, pickles, ketchup and mustard."
Pastas,Baked Ziti,15.99,"A generous portion of ziti tossed in our own marinara sauce with Romano and mozzarella cheese, then baked."
Pastas,Buffalo Mac & Cheese,18.99,Tender chicken sautéed in buffalo sauce then tossed with ziti pasta and our homemade cheese sauce. Topped with butter crumb topping and melted jack‐cheddar cheese.
Pastas,Chicken & Broccoli Alfredo,17.99,Tender chicken and broccoli tossed with fettuccine Alfredo.
Pastas,Cheesy Chicken & Broccoli Bake,16.99,"Homemade cheddar cheese sauce tossed with tender chicken, ziti and broccoli. Topped with a buttery crumb topping."
Pastas,Cajun Chicken Pasta,18.99,"Fresh chicken, mushrooms and ziti tossed in a spicy Alfredo sauce."
Pastas,Chicken Parmigiana,16.99,"Chicken breast breaded Italian style, topped with our own marinara sauce, Romano and mozzarella with a side of fettuccine."
Rice Bowls,Shrimp Creole,15.49,"A taste of New Orleans! Plump shrimp and our own Creole seasoning sautéed with garlic butter, fresh chopped celery, green peppers, onions, diced tomatoes and a little hot sauce for some kick! Served with seasoned rice."
Rice Bowls,Orange Tenders Rice Bowl,14.99,"Tully's Tenders® tossed with broccoli, shredded carrots and our homemade orange citrus sauce. Served over seasoned rice and sprinkled with scallions."
Rice Bowls,Healthy Choice Life Bowl,14.79,"Southwest seasoned chicken with black beans, corn, pico de gallo, guacamole on a bed of seasoned rice with fresh cilantro and lime. (Under 600 calories)"
Rice Bowls,Asian Rice Bowl,15.29,"Our fresh Asian Tenders on top of seasoned rice with steamed broccoli drizzled with Asian vinaigrette, fresh pickled veggies and scallions. Finished with fried wonton strips."
Rice Bowls,Blackened Shrimp Rice Bowl,14.49,"Blackened gulf shrimp, grilled with onions, corn, black beans and roasted red peppers. Served over rice with pico de gallo and fresh cilantro."
Shareable Desserts,Chocolate Chip Cookie Monster,7.99,"Two warm chocolate chip cookies topped with vanilla ice cream, hot fudge and whipped cream."
Shareable Desserts,Mile High Ice Cream Pie,8.89,"Homemade ice cream pie with a chocolate crumb crust, vanilla ice cream, caramel, chocolate fudge and candy bar crunch, topped with whipped cream."
Shareable Desserts,Reese's Pieces® Cookie Monster,7.99,"Two warm chocolate chip cookies topped with vanilla ice cream, whipped cream, chocolate sauce, peanut butter sauce and crushed Reese’s Pieces®."
Shareable Desserts,Homemade Cheesecake,8.89,Our famous cheesecake topped with your choice of cherry topping or hot fudge and chocolate cream cookie pieces and whipped cream.
Shareable Desserts,Chocolate Peanut Butter Pie,8.89,"Homemade with chocolate crumb crust, creamy peanut butter, topped with semi-sweet chocolate and whipped cream."
Lunch Combos,Smokehouse Pulled Pork Sandwich,12.89,Slow smoked pulled pork stacked on a toasted roll with Cajun mayo and BBQ sauce. Topped with crisp coleslaw. Served with fries and a pickle spear.
Lunch Combos,Tully's Street Tacos,12.89,"Two flour tortillas filled with our signature Tully's Tenders®, shredded jack-cheddar cheese, pico de gallo, shredded lettuce and cilantro lime crema. Sprinkled with our taco seasoning and fresh cilantro. Served with homemade cowboy caviar."
Lunch Combos,Turkey Bacon Ranch,12.89,"Freshly shaved turkey and crispy bacon with cheddar cheese, lettuce and tomato on toasted deli bread with our homemade Ranch dressing. Served with fries and a pickle spear."
Lunch Combos,Soup & Sandwich Combo,12.89,"Baked Potato soup, paired with a turkey, ham, or tuna fish sandwich on a small sub roll with lettuce, tomato, and mayo. Served with a pickle spear. Substitute French Onion or Homemade Chili for $.99."
Lunch Combos,Soup & Tenders,12.89,Baked Potato soup and three Tully's Tenders® with Tully's Honey Mustard for dipping. Substitute French Onion or Homemade Chili for $.99.
Lunch Combos,Chicken Tender Wrap,12.89,"Tully’s Tenders® diced and mixed with lettuce, tomato and Tully’s Honey Mustard. Served with fries and a pickle spear."
Lunch Favorites,Meatloaf Parm Sandwich,11.99,A slice of our homemade meatloaf topped with marinara sauce and mozzarella cheese on a warm roll with garlic butter. Served with fries and a pickle spear.
Lunch Favorites,New England Haddock Reuben,14.29,"Lightly breaded haddock on grilled rye bread. Topped with Swiss cheese, Thousand Island dressing and fresh coleslaw. Served with fries and a pickle spear."
Lunch Favorites,Taco Salad,11.99,"Fresh iceberg lettuce, topped with a mixture of seasoned ground beef and refried beans. With ranch dressing, corn, jack-cheddar cheese, pico de Gallo and sour cream in a crisp taco shell. Served with a side of salsa. Add guacamole for $2.39."
Lunch Favorites,Lunch Fish Fry,12.69,"Lightly breaded haddock served with fries, tartar sauce and coleslaw."
Lunch Favorites,Tully's Tenders®,12.99,Our famous hand battered Tully's Tenders®. Served with fries and Tully's Honey Mustard for dipping. Sub Buffalo or Asian Tenders $.50.
Dinner Specials,Orange Citrus Salmon,20.99,8oz Norwegian salmon grilled with our homemade orange citrus sauce. Served with seasoned rice and fresh vegetables.
Dinner Specials,Petite Flat Iron Steak,17.69,6oz USDA choice Black Angus Flat Iron steak served with country mashed potatoes and fresh vegetables.
Dinner Specials,Steak and Shells Combo,19.99,6oz USDA Choice Black Angus Flat Iron steak served with our classic stuffed shells and garlic bread.
Dinner Specials,Steak & Tender Combo,19.99,6oz USDA choice Black Angus Flat Iron steak and Tully’s
Dinner Specials,Surf 'N Turf,20.59,6oz USDA Angus Flat Iron steak served with sautéed shrimp lightly seasoned with Cajun spices and fresh vegetables.
Dinner Specials,Steak Fajita Bowl,19.49,"Seasoned Black Angus Flat Iron steak served with grilled onions, mushrooms and peppers, pico de gallo, guacamole and cowboy caviar. Served over seasoned riced and sprinkled with fresh cilantro and cheddar-jack cheese."
Dinner Specials,Baked Stuffed Shells,15.99,"Pasta shells stuffed with ricotta, herbs, and mozzarella cheese. Topped with our own marinara sauce and mozzarella cheese then baked until golden brown. Served with a side salad and garlic bread."
Dinner Specials,Pulled Pork Mac & Cheese,17.99,"Smoked pulled pork served over our homemade mac & cheese. Topped with fresh fried onion straws, BBQ sauce, ranch dressing and fresh cilantro. Served with garlic bread."
Dinner Specials,Grilled Caribbean Mahi,17.99,Mahi filet seasoned and grilled with blackening spice. Topped with our fresh pineapple mango salsa. Served with seasoned rice and fresh vegetables.
Little League Menu,Kid's Burger & Fries,6.99,Add cheese for $.30
Little League Menu,Tully's Tenders & Fries,6.99,No description available.
Little League Menu,Pasta Marinara,6.99,No description available.
Little League Menu,Grilled Cheese Sandwich & Fries,6.99,No description available.
Little League Menu,Macaroni & Cheese,6.99,No description available.
Little League Menu,Mozzarella Sticks & Fries,6.99,No description available.
Little League Menu,Tully's Tenders Salad,7.99,with choice of dressing
Little League Menu,Cookie & Cream Dream,3.99,A creamy drink made with crumbled chocolate cookies and vanilla ice cream.
Little League Menu,Kiddie Cookie Sundae,3.99,"Vanilla ice cream, crushed chocolate cookies, chocolate syrup and whipped cream."
Little League Menu,Hot Fudge Sundae,3.99,No description available.
